email,password
management@divergencie.com,demo
teacher@divergencie.com,demo
student@divergencie.com,demo
parent@divergencie.com,demo
ambassador@divergencie.com,demo
candidate@divergencie.com,demo
hr@divergencie.com,demo
hr-assistant@divergencie.com,demo
marketing@divergencie.com,demo
marketing-assistant@divergencie.com,demo
finance@divergencie.com,demo
finance-assistant@divergencie.com,demo
pr@divergencie.com,demo
pr-assistant@divergencie.com,demo
ta-pr@divergencie.com,demo
it@divergencie.com,demo
it-assistant@divergencie.com,demo
ai-intern@divergencie.com,demo
swe-intern@divergencie.com,demo
